Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
A.J. Hammons,0.05,0.21,0.13,0.04,0,0.07,0.16,0.41,0.5,0.38,0.46,0.45,198,99
A.J. Price,0.02,0.09,0.06,0.23,0.01,0,0.11,0.36,0.24,0.44,0.41,0.63,213,124
Aaron Brooks,0.02,0.06,0.04,0.24,0.01,0.01,0.15,0.4,0.35,0.44,0.48,0.84,183,73
Aaron Gordon,0.07,0.18,0.12,0.09,0.01,0.02,0.1,0.46,0.29,0.52,0.5,0.7,206,99
Aaron Gray,0.14,0.23,0.19,0.1,0.01,0.02,0.23,0.51,0,0.51,0.51,0.56,213,122
Aaron Harrison,0.02,0.16,0.09,0.13,0.02,0,0.07,0.13,0.15,0.11,0.17,0.46,198,95
Aaron Williams,0.06,0.18,0.12,0.05,0.02,0.04,0.17,0.49,,0.49,0.49,0.78,206,99
Acie Law,0.02,0.07,0.04,0.18,0.02,0,0.17,0.41,0.21,0.46,0.44,0.76,190,88
Adam Morrison,0.04,0.12,0.08,0.1,0.01,0,0.13,0.36,0.29,0.39,0.41,0.66,203,92
Adonal Foyle,0.11,0.2,0.16,0.02,0,0.06,0.17,0.58,,0.58,0.58,0.49,208,113
Adonis Thomas,0,0.08,0.04,0.14,0,0,0.08,0.45,0.23,0.57,0.5,1,201,90
Adreian Payne,0.07,0.19,0.13,0.06,0.02,0.02,0.12,0.38,0.14,0.42,0.39,0.64,208,107
Adrian Griffin,0.1,0.13,0.11,0.12,0.03,0.01,0.21,0.39,,0.39,0.39,0.66,196,98
Al Harrington,0.05,0.17,0.11,0.09,0.02,0,0.11,0.41,0.35,0.46,0.49,0.73,206,104
Al Horford,0.08,0.21,0.15,0.15,0.01,0.03,0.12,0.53,0.34,0.54,0.54,0.75,208,111
Al Jefferson,0.08,0.25,0.16,0.11,0.01,0.03,0.07,0.5,0.12,0.5,0.5,0.72,208,131
Al Thornton,0.05,0.12,0.09,0.07,0.01,0.01,0.12,0.47,0.25,0.48,0.48,0.75,203,99
Alan Anderson,0.02,0.1,0.06,0.08,0.01,0,0.09,0.39,0.34,0.44,0.48,0.8,198,99
Alan Williams,0.18,0.35,0.26,0.08,0.02,0.05,0.14,0.47,0,0.47,0.47,0.63,198,90
Alando Tucker,0.08,0.06,0.07,0.05,0,0,0.08,0.42,0.22,0.46,0.44,0.79,203,86
Alec Burks,0.04,0.12,0.08,0.13,0.01,0.01,0.12,0.42,0.36,0.44,0.46,0.76,198,97
Alex Abrines,0.02,0.07,0.05,0.06,0.02,0.01,0.08,0.39,0.38,0.43,0.53,0.9,198,86
Alex Acker,0.03,0.1,0.07,0.1,0.03,0.02,0.06,0.39,0.26,0.46,0.42,0.5,196,83
Alex Kirk,0.08,0,0.04,0.1,0,0,0,0.25,,0.25,0.25,1,213,111
Alex Len,0.11,0.23,0.17,0.04,0.01,0.04,0.17,0.46,0.24,0.47,0.46,0.7,216,117
Alex Poythress,0.08,0.13,0.1,0.05,0.01,0.01,0.05,0.46,0.32,0.54,0.52,0.8,201,107
Alex Stepheson,0.23,0.13,0.18,0.03,0.01,0.08,0,0.55,,0.55,0.55,0.24,208,122
Alexander Johnson,0.07,0.14,0.1,0.04,0.01,0.02,0.21,0.49,,0.49,0.49,0.69,206,108
Alexey Shved,0.03,0.1,0.06,0.22,0.02,0.01,0.13,0.37,0.32,0.41,0.44,0.79,198,86
Alexis Ajinca,0.08,0.21,0.14,0.05,0.02,0.04,0.13,0.47,0.16,0.48,0.48,0.67,218,112
Al-Farouq Aminu,0.07,0.2,0.13,0.08,0.02,0.02,0.15,0.43,0.29,0.46,0.47,0.73,206,99
Allen Crabbe,0.01,0.1,0.05,0.08,0.01,0.01,0.08,0.43,0.4,0.45,0.52,0.8,198,95
Allen Iverson*,0.02,0.07,0.05,0.24,0.02,0,0.14,0.45,0.41,0.47,0.47,0.74,183,74
Alonzo Gee,0.06,0.11,0.09,0.06,0.02,0.01,0.18,0.42,0.31,0.45,0.45,0.69,198,102
Alonzo Mourning*,0.1,0.19,0.14,0.03,0.01,0.09,0.16,0.55,,0.55,0.55,0.59,208,108
Amar'e Stoudemire,0.09,0.19,0.14,0.07,0.01,0.03,0.12,0.55,0.18,0.55,0.55,0.76,208,111
Amir Johnson,0.11,0.19,0.15,0.08,0.01,0.04,0.16,0.58,0.27,0.59,0.59,0.67,206,108
Anderson Varejao,0.11,0.23,0.17,0.1,0.02,0.02,0.14,0.48,0.02,0.49,0.48,0.67,208,123
Andray Blatche,0.09,0.19,0.14,0.11,0.02,0.03,0.14,0.46,0.24,0.47,0.47,0.72,211,106
Andre Barrett,0,0.05,0.02,0.44,0,0,0.15,0.4,0.33,0.5,0.5,0.5,178,78
Andre Brown,0.18,0.18,0.18,0.04,0.01,0.01,0.26,0.32,,0.32,0.32,0.72,206,111
Andre Dawkins,0,0.11,0.06,0.07,0,0,0.14,0.17,0.17,,0.25,,196,97
Andre Drummond,0.16,0.31,0.23,0.04,0.02,0.04,0.11,0.56,0.22,0.56,0.56,0.38,211,126
Andre Emmett,0.05,0.11,0.08,0.04,0.02,0.02,0.16,0.57,0,0.67,0.57,0.63,196,104
Andre Iguodala,0.03,0.14,0.08,0.2,0.02,0.01,0.14,0.47,0.34,0.53,0.52,0.66,198,97
Andre Miller,0.04,0.1,0.07,0.31,0.02,0,0.2,0.49,0.28,0.51,0.5,0.78,206,102
Andre Owens,0.04,0.1,0.07,0.18,0.02,0.01,0.16,0.37,0.45,0.33,0.46,0.74,193,90
Andre Roberson,0.07,0.14,0.11,0.05,0.02,0.02,0.14,0.48,0.24,0.6,0.52,0.55,196,83
Andrea Bargnani,0.04,0.15,0.09,0.08,0.01,0.02,0.1,0.44,0.32,0.47,0.48,0.83,213,111
Andrei Kirilenko,0.06,0.14,0.1,0.13,0.02,0.03,0.15,0.42,0.3,0.45,0.44,0.73,206,99
Andres Nocioni,0.03,0.19,0.11,0.07,0.01,0.01,0.13,0.4,0.36,0.43,0.47,0.75,201,102
Andrew Bogut,0.09,0.25,0.17,0.11,0.01,0.04,0.2,0.52,0.25,0.53,0.52,0.48,213,117
Andrew Bynum,0.12,0.24,0.19,0.09,0.01,0.04,0.13,0.52,0.1,0.52,0.52,0.72,213,129
Andrew Goudelock,0.08,0.03,0.05,0.07,0.02,0.01,0.12,0.28,0.24,0.38,0.32,0.83,190,90
Andrew Harrison,0.02,0.09,0.05,0.2,0.02,0.01,0.16,0.33,0.28,0.36,0.39,0.76,198,96
Andrew Nicholson,0.05,0.17,0.11,0.05,0.01,0.02,0.12,0.43,0.26,0.48,0.46,0.75,206,113
Andrew Wiggins,0.04,0.09,0.07,0.1,0.01,0.01,0.11,0.45,0.32,0.47,0.47,0.76,203,90
Andris Biedrins,0.09,0.27,0.18,0.05,0.01,0.04,0.21,0.63,0,0.63,0.63,0.32,211,108
Andy Rautins,0,0.05,0.02,0.19,0.02,0,0.47,0.43,0.25,0.67,0.5,0.5,193,86
Anfernee Hardaway,0.01,0.12,0.07,0.17,0.03,0,0.17,0.37,0.42,0.34,0.43,0.89,201,88
Antawn Jamison,0.06,0.2,0.13,0.07,0.02,0.01,0.07,0.43,0.33,0.48,0.48,0.69,203,101
Anthony Bennett,0.08,0.21,0.15,0.05,0.02,0.01,0.12,0.37,0.26,0.44,0.41,0.73,203,111
Anthony Brown,0.06,0.2,0.13,0.1,0.01,0,0.1,0.36,0.28,0.45,0.43,0.85,206,111
Anthony Carter,0.02,0.11,0.07,0.25,0.03,0.01,0.25,0.41,0.3,0.46,0.46,0.88,185,86
Anthony Davis,0.08,0.25,0.17,0.09,0.02,0.06,0.08,0.51,0.19,0.52,0.52,0.78,206,97
Anthony Johnson,0.02,0.09,0.06,0.24,0.02,0,0.19,0.43,0.42,0.44,0.5,0.83,196,97
Anthony Morrow,0.03,0.06,0.04,0.06,0.01,0,0.06,0.44,0.38,0.47,0.52,0.9,196,95
Anthony Parker,0.02,0.11,0.07,0.14,0.02,0,0.12,0.43,0.4,0.46,0.52,0.77,198,97
Anthony Randolph,0.09,0.22,0.15,0.08,0.02,0.04,0.15,0.44,0.14,0.45,0.45,0.7,208,92
Anthony Roberson,0.05,0.12,0.08,0.1,0.01,0,0.06,0.35,0.29,0.45,0.44,1,196,83
Anthony Tolliver,0.04,0.17,0.1,0.06,0.01,0.01,0.1,0.37,0.32,0.47,0.47,0.74,203,108
Antoine Walker,0.07,0.15,0.11,0.08,0.02,0.01,0.1,0.36,0.32,0.4,0.44,0.53,193,86
Antoine Wright,0.04,0.09,0.07,0.08,0.01,0.01,0.13,0.38,0.29,0.44,0.42,0.68,201,95
Antonio Anderson,0.08,0,0.04,0,0,0,0.25,0.33,,0.33,0.33,,188,83
Antonio Daniels,0.01,0.1,0.05,0.22,0.01,0,0.17,0.42,0.28,0.49,0.45,0.83,193,88
Antonio McDyess,0.11,0.24,0.17,0.08,0.01,0.02,0.12,0.49,0,0.49,0.49,0.66,206,99
Archie Goodwin,0.04,0.09,0.06,0.13,0.01,0.02,0.14,0.46,0.3,0.5,0.5,0.76,196,90
Arinze Onuaku,0.07,0.22,0.14,0.1,0,0.01,0.15,0.36,,0.36,0.36,0.46,206,115
Armon Johnson,0.02,0.14,0.08,0.15,0.04,0,0.24,0.59,0.36,0.6,0.61,0.86,196,107
Arnett Moultrie,0.11,0.15,0.13,0.02,0.02,0.02,0.13,0.5,,0.5,0.5,0.72,211,112
Aron Baynes,0.11,0.2,0.16,0.06,0.01,0.02,0.16,0.5,0.08,0.51,0.5,0.79,208,117
Arron Afflalo,0.02,0.1,0.06,0.1,0.01,0,0.1,0.44,0.37,0.48,0.51,0.83,196,95
Austin Croshere,0.13,0.26,0.19,0.14,0.01,0.01,0.13,0.36,0.29,0.41,0.41,0.53,206,106
Austin Daye,0.04,0.18,0.11,0.09,0.01,0.02,0.11,0.38,0.33,0.43,0.45,0.74,211,99
Austin Rivers,0.02,0.08,0.05,0.15,0.01,0.01,0.12,0.41,0.33,0.45,0.46,0.65,193,90
Avery Bradley,0.03,0.09,0.06,0.1,0.02,0.01,0.12,0.43,0.32,0.46,0.48,0.74,188,81
Awvee Storey,0.14,0.11,0.12,0.1,0.01,0,0.09,0.44,0,0.48,0.44,0.48,198,100
Axel Toupane,0.01,0.03,0.02,0.02,0.01,0.01,0.02,0.38,0.23,0.67,0.44,0.77,201,89
Baron Davis,0.02,0.09,0.06,0.39,0.03,0.01,0.17,0.4,0.32,0.45,0.46,0.76,190,94
Ben Bentil,0,0.24,0.12,0,0,0,0.25,0,0,0,0,,206,106
Ben Gordon,0.02,0.09,0.05,0.15,0.01,0,0.14,0.42,0.37,0.44,0.48,0.85,190,90
Ben Hansbrough,0.01,0.09,0.05,0.16,0.02,0.01,0.24,0.33,0.26,0.41,0.4,0.78,190,92
Ben McLemore,0.02,0.09,0.06,0.07,0.01,0.01,0.13,0.42,0.36,0.47,0.49,0.77,196,88
Ben Uzoh,0.09,0.14,0.12,0.27,0.03,0.01,0.11,0.38,0.13,0.38,0.38,0.58,190,92
Ben Wallace,0.12,0.21,0.16,0.07,0.02,0.04,0.17,0.44,0.15,0.44,0.44,0.4,206,108
Beno Udrih,0.02,0.09,0.05,0.28,0.01,0,0.17,0.46,0.39,0.48,0.5,0.85,190,92
Bernard James,0.12,0.18,0.15,0.03,0.01,0.06,0.18,0.48,0,0.49,0.48,0.68,208,108
Billy Thomas,0,0.04,0.02,0,0.01,0,0.19,0.17,0.19,0,0.26,1,193,94
Bismack Biyombo,0.11,0.25,0.18,0.03,0.01,0.06,0.17,0.52,0,0.52,0.52,0.54,206,115
Blake Ahearn,0,0.09,0.04,0.13,0.02,0,0.19,0.29,0.34,0.21,0.4,0.98,188,86
Blake Griffin,0.08,0.22,0.15,0.22,0.01,0.01,0.11,0.52,0.28,0.52,0.52,0.68,208,113
Bo Outlaw,0,0,0,0,0,0,0.25,0.67,,0.67,0.67,,203,95
Boban Marjanovic,0.17,0.29,0.23,0.06,0.01,0.03,0.09,0.57,,0.57,0.57,0.79,221,131
Bobby Brown,0.02,0.06,0.04,0.24,0.01,0,0.14,0.38,0.32,0.42,0.45,0.86,193,92
Bobby Jackson,0.03,0.13,0.08,0.16,0.02,0,0.1,0.4,0.34,0.45,0.48,0.8,185,83
Bobby Jones,0.04,0.13,0.09,0.07,0.03,0,0.16,0.42,0.27,0.5,0.46,0.78,206,95
Bobby Portis,0.1,0.22,0.16,0.07,0.01,0.01,0.09,0.46,0.32,0.49,0.49,0.69,211,104
Bobby Simmons,0.04,0.11,0.07,0.09,0.01,0,0.09,0.31,0.29,0.4,0.39,0.74,201,95
Bojan Bogdanovic,0.02,0.12,0.07,0.07,0.01,0,0.12,0.45,0.37,0.51,0.53,0.87,198,92
Bonzi Wells,0.06,0.17,0.12,0.09,0.03,0.02,0.13,0.45,0.26,0.47,0.46,0.65,196,95
Boris Diaw,0.05,0.14,0.1,0.19,0.01,0.01,0.19,0.5,0.36,0.54,0.54,0.7,203,113
Bostjan Nachbar,0.04,0.14,0.09,0.09,0.01,0.01,0.11,0.4,0.36,0.44,0.48,0.79,206,100
Brad Miller,0.07,0.2,0.13,0.18,0.01,0.01,0.17,0.44,0.36,0.44,0.49,0.83,211,110
Bradley Beal,0.03,0.1,0.06,0.15,0.02,0.01,0.11,0.44,0.4,0.46,0.51,0.79,196,93
Brandan Wright,0.09,0.16,0.12,0.05,0.01,0.05,0.09,0.59,0,0.6,0.59,0.66,211,102
Branden Dawson,0.08,0.07,0.08,0,0,0.03,0,0.4,,0.4,0.4,1,198,102
Brandon Bass,0.08,0.16,0.12,0.06,0.01,0.02,0.11,0.51,0.12,0.51,0.51,0.84,203,113
Brandon Davies,0.08,0.14,0.11,0.1,0.02,0.02,0.17,0.39,0.23,0.43,0.42,0.67,208,108
Brandon Ingram,0.03,0.13,0.08,0.11,0.01,0.01,0.13,0.4,0.29,0.44,0.44,0.62,206,86
Brandon Jennings,0.02,0.1,0.06,0.31,0.02,0,0.14,0.37,0.33,0.41,0.44,0.77,185,77
Brandon Knight,0.02,0.1,0.06,0.24,0.02,0,0.15,0.41,0.36,0.44,0.47,0.82,178,78
Brandon Roy,0.03,0.11,0.07,0.24,0.01,0,0.1,0.42,0.28,0.47,0.45,0.78,198,97
Brandon Rush,0.02,0.12,0.07,0.07,0.01,0.02,0.14,0.42,0.32,0.46,0.5,0.66,198,99
Brendan Haywood,0.12,0.2,0.16,0.04,0.01,0.05,0.15,0.52,0,0.52,0.52,0.54,213,121
Brent Barry,0.03,0.1,0.06,0.15,0.02,0,0.15,0.44,0.4,0.56,0.59,0.95,198,83
Brevin Knight,0.01,0.09,0.05,0.3,0.03,0,0.2,0.38,0,0.39,0.38,0.81,178,78
Brian Cardinal,0.04,0.12,0.08,0.1,0.02,0.01,0.15,0.36,0.33,0.4,0.47,0.85,203,111
Brian Cook,0.05,0.18,0.11,0.06,0.01,0.02,0.13,0.34,0.32,0.36,0.41,0.85,206,106
Brian Roberts,0.01,0.08,0.05,0.21,0.01,0,0.12,0.42,0.36,0.45,0.48,0.89,185,78
Brian Scalabrine,0.04,0.11,0.07,0.11,0.01,0.02,0.18,0.41,0.24,0.48,0.47,0.7,206,109
Brian Skinner,0.05,0.11,0.09,0.02,0.01,0.03,0.13,0.33,0.33,0.33,0.33,0.64,206,115
Briante Weber,0.03,0.15,0.09,0.25,0.02,0.01,0.12,0.49,0.05,0.54,0.49,0.71,188,74
Brice Johnson,0.13,0.24,0.19,0.19,0.11,0.09,0.13,0.29,,0.29,0.29,,208,95
Brook Lopez,0.09,0.15,0.12,0.09,0.01,0.04,0.1,0.51,0.07,0.52,0.52,0.78,213,124
Bruce Bowen,0.01,0.1,0.06,0.05,0.01,0.01,0.1,0.41,0.42,0.41,0.52,0.6,201,83
Bruno Caboclo,0.07,0.07,0.07,0.06,0.02,0.03,0.2,0.26,0.38,0.21,0.33,,206,98
Bryce Cotton,0.01,0.03,0.02,0.1,0.02,0,0.21,0.52,0.12,0.61,0.53,0.83,185,74
Bryce Dejean-Jones,0.03,0.17,0.1,0.08,0.02,0.01,0.12,0.41,0.38,0.43,0.49,0.52,198,94
Bryn Forbes,0.01,0.08,0.05,0.12,0,0,0.1,0.36,0.32,0.41,0.45,0.83,190,86
Buddy Hield,0.02,0.14,0.08,0.1,0.01,0,0.12,0.43,0.4,0.47,0.53,0.85,193,97
Byron Mullens,0.07,0.19,0.13,0.05,0.02,0.02,0.14,0.4,0.33,0.45,0.45,0.56,213,124
C.J. McCollum,0.02,0.09,0.05,0.15,0.02,0.01,0.12,0.45,0.4,0.47,0.52,0.78,190,86
C.J. Miles,0.02,0.11,0.07,0.09,0.02,0.01,0.09,0.42,0.36,0.47,0.51,0.81,185,79
C.J. Watson,0.02,0.08,0.05,0.19,0.02,0,0.14,0.41,0.36,0.44,0.47,0.81,211,117
C.J. Wilcox,0.02,0.07,0.05,0.12,0.02,0.01,0.13,0.36,0.32,0.39,0.43,0.92,203,90
Calvin Booth,0.31,0.11,0.23,0.01,0.01,0.03,0.08,0.44,,0.44,0.44,0.7,211,104
Cameron Bairstow,0.07,0.14,0.11,0.05,0.01,0.02,0.12,0.27,0.2,0.28,0.28,0.84,206,113
Cameron Payne,0.01,0.11,0.06,0.19,0.02,0.01,0.13,0.35,0.32,0.38,0.42,0.67,190,83
Caris LeVert,0.02,0.14,0.08,0.14,0.02,0.01,0.12,0.45,0.32,0.57,0.53,0.72,201,92
Carl Landry,0.1,0.15,0.12,0.05,0.01,0.01,0.11,0.53,0.18,0.54,0.54,0.78,206,112
Carldell Johnson,0.01,0.08,0.05,0.29,0.04,0,0.16,0.31,0.27,0.35,0.37,0.33,178,81
Carlos Arroyo,0.02,0.08,0.05,0.2,0.01,0,0.18,0.43,0.42,0.43,0.47,0.85,188,91
Carlos Boozer,0.08,0.27,0.18,0.13,0.02,0.01,0.12,0.51,0,0.51,0.51,0.71,206,117
Carlos Delfino,0.02,0.15,0.09,0.12,0.02,0.01,0.11,0.4,0.37,0.44,0.5,0.8,198,104
Carmelo Anthony,0.05,0.17,0.11,0.17,0.01,0.01,0.1,0.45,0.36,0.47,0.49,0.82,203,108
Caron Butler,0.03,0.14,0.08,0.1,0.02,0.01,0.1,0.42,0.34,0.45,0.48,0.84,201,103
Carrick Felix,0.03,0.15,0.09,0.18,0,0,0.2,0.5,0.4,0.56,0.57,0.75,198,91
Cartier Martin,0.04,0.12,0.08,0.06,0.01,0.01,0.1,0.4,0.37,0.44,0.5,0.72,201,99
Casey Jacobsen,0.02,0.11,0.07,0.05,0.01,0,0.12,0.34,0.22,0.54,0.41,0.77,198,97
Casper Ware,0,0.09,0.04,0.14,0.03,0,0.1,0.43,0.33,0.52,0.51,0.83,178,79
Cedric Jackson,0.03,0.1,0.07,0.27,0.02,0.02,0.27,0.24,0.13,0.28,0.26,0.58,190,86
Cedric Simmons,0.07,0.15,0.11,0.02,0.01,0.03,0.18,0.31,,0.31,0.31,0.23,206,106
Chandler Parsons,0.03,0.14,0.08,0.14,0.02,0.01,0.11,0.45,0.36,0.51,0.52,0.71,208,104
Channing Frye,0.04,0.19,0.11,0.07,0.01,0.02,0.1,0.44,0.38,0.49,0.54,0.83,211,115
Charles Jenkins,0.02,0.06,0.04,0.19,0.02,0,0.13,0.41,0.38,0.42,0.41,0.62,190,99
Charlie Bell,0.03,0.08,0.05,0.13,0.02,0,0.12,0.36,0.34,0.38,0.44,0.71,190,90
Charlie Villanueva,0.05,0.21,0.13,0.07,0.01,0.02,0.08,0.41,0.33,0.48,0.49,0.74,211,105
Chase Budinger,0.04,0.14,0.09,0.09,0.01,0.01,0.11,0.43,0.33,0.51,0.5,0.76,201,94
Chasson Randle,0.02,0.09,0.05,0.16,0.02,0.01,0.13,0.42,0.35,0.49,0.51,0.96,188,83
Chauncey Billups,0.01,0.09,0.05,0.26,0.02,0,0.15,0.4,0.37,0.42,0.49,0.91,190,91
Cheick Diallo,0.12,0.27,0.19,0.03,0.01,0.03,0.08,0.47,,0.47,0.47,0.71,206,99
Cheikh Samb,0.13,0.19,0.16,0.02,0.02,0.08,0.09,0.27,0,0.28,0.27,0.38,216,111
Chinanu Onuaku,0.04,0.17,0.11,0.08,0.03,0.02,0.31,0.71,,0.71,0.71,1,208,111
Chris Andersen,0.1,0.21,0.16,0.04,0.01,0.06,0.12,0.52,0.23,0.54,0.53,0.67,208,111
Chris Babb,0.03,0.12,0.07,0.03,0.02,0,0.09,0.27,0.22,0.67,0.37,,196,102
Chris Bosh,0.06,0.21,0.14,0.1,0.01,0.02,0.1,0.5,0.32,0.51,0.51,0.81,211,106
Chris Copeland,0.03,0.1,0.07,0.1,0.01,0.01,0.12,0.41,0.36,0.49,0.51,0.77,206,108
Chris Douglas-Roberts,0.02,0.1,0.06,0.09,0.01,0.01,0.09,0.39,0.23,0.45,0.42,0.83,201,90
Chris Duhon,0.01,0.08,0.05,0.24,0.01,0,0.23,0.39,0.35,0.43,0.49,0.7,185,83
Chris Hunter,0.08,0.16,0.12,0.07,0.01,0.03,0.11,0.5,0,0.51,0.5,0.75,211,108
Chris Johnson,0.06,0.14,0.1,0.04,0.02,0.03,0.16,0.46,0.3,0.54,0.5,0.8,183,77
Chris Kaman,0.08,0.24,0.16,0.11,0.01,0.04,0.16,0.49,0.05,0.49,0.49,0.78,213,120
Chris McCullough,0.08,0.17,0.12,0.03,0.03,0.02,0.15,0.36,0.17,0.54,0.38,0.56,211,90
Chris Mihm,0.14,0.2,0.17,0.1,0.01,0.04,0.16,0.36,,0.36,0.36,0.76,213,120
Chris Paul,0.02,0.12,0.07,0.48,0.03,0,0.13,0.48,0.38,0.51,0.53,0.87,183,79
Chris Quinn,0.01,0.07,0.04,0.2,0.02,0,0.15,0.36,0.28,0.41,0.43,0.84,188,83
Chris Richard,0.1,0.19,0.14,0.05,0.01,0.02,0.24,0.49,,0.49,0.49,0.61,206,122
Chris Singleton,0.06,0.16,0.11,0.05,0.02,0.02,0.14,0.38,0.3,0.39,0.42,0.66,203,104
Chris Smith,0,0,0,0,0,0,0,,,,,,208,104
Chris Webber,0.02,0.27,0.14,0.19,0.02,0.04,0.23,0.48,,0.48,0.48,0.42,206,111
Chris Wilcox,0.1,0.2,0.15,0.06,0.01,0.02,0.15,0.56,0,0.56,0.56,0.58,208,100
Chris Wright,0.07,0.08,0.08,0.03,0.02,0.03,0.19,0.54,0,0.54,0.54,0.59,203,102
Christian Eyenga,0.04,0.1,0.07,0.07,0.01,0.03,0.11,0.33,0.28,0.36,0.35,0.62,196,95
Christian Wood,0.12,0.17,0.15,0.03,0.02,0.04,0.11,0.47,0.18,0.55,0.49,0.68,211,99
Chuck Hayes,0.09,0.21,0.15,0.1,0.02,0.01,0.21,0.46,0,0.46,0.46,0.66,198,108
