Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Chucky Atkins,0.01,0.06,0.03,0.22,0.01,0,0.16,0.33,0.28,0.38,0.4,0.85,180,72
Cleanthony Early,0.03,0.15,0.09,0.07,0.01,0.02,0.16,0.33,0.26,0.37,0.38,0.75,203,95
Cliff Alexander,0.06,0.12,0.09,0,0.01,0.04,0.09,0.5,,0.5,0.5,,203,111
Clint Capela,0.13,0.26,0.2,0.05,0.01,0.06,0.11,0.57,0,0.57,0.57,0.36,206,98
Coby Karl,0.03,0.22,0.13,0.14,0.01,0.01,0.38,0.34,0.22,0.41,0.39,0.71,196,97
Cody Zeller,0.08,0.19,0.14,0.09,0.02,0.03,0.12,0.5,0.28,0.5,0.5,0.73,213,108
Cole Aldrich,0.1,0.26,0.18,0.06,0.02,0.05,0.2,0.54,,0.54,0.54,0.69,211,113
Corey Brewer,0.04,0.11,0.07,0.11,0.03,0.01,0.12,0.42,0.27,0.48,0.46,0.72,206,84
Corey Maggette,0.03,0.14,0.09,0.11,0.01,0,0.13,0.44,0.31,0.46,0.46,0.82,198,98
Cory Higgins,0.03,0.08,0.05,0.22,0.03,0.01,0.09,0.32,0.2,0.35,0.34,0.6,196,81
Cory Jefferson,0.11,0.21,0.16,0.02,0.01,0.02,0.05,0.43,0.07,0.45,0.43,0.62,206,98
Cory Joseph,0.03,0.1,0.07,0.19,0.02,0.01,0.13,0.44,0.3,0.47,0.47,0.77,190,87
Coty Clarke,0,0.18,0.09,0,0,0,0.2,0.5,1,0,0.75,,201,105
Courtney Fortson,0.07,0.11,0.09,0.16,0.02,0,0.21,0.35,0.23,0.43,0.4,0.67,180,83
Courtney Lee,0.02,0.09,0.05,0.09,0.02,0.01,0.1,0.46,0.39,0.49,0.52,0.85,196,90
Courtney Sims,0.11,0.12,0.12,0.03,0,0,0.29,0.33,,0.33,0.33,,208,111
Craig Brackins,0.07,0.1,0.08,0.09,0.01,0,0.05,0.26,0.17,0.31,0.28,0.5,208,104
Craig Smith,0.08,0.17,0.13,0.09,0.01,0.01,0.14,0.55,0.04,0.56,0.55,0.69,201,113
Cristiano Felicio,0.11,0.21,0.16,0.09,0.01,0.02,0.12,0.57,0,0.58,0.57,0.68,208,124
Cuttino Mobley,0.02,0.08,0.05,0.09,0.02,0.01,0.11,0.43,0.35,0.46,0.47,0.77,193,86
D.J. Augustin,0.01,0.07,0.04,0.26,0.01,0,0.16,0.39,0.36,0.42,0.47,0.86,206,106
D.J. Kennedy,0.02,0.12,0.07,0.08,0.02,0,0.19,0.42,0.5,0.38,0.5,0,211,111
D.J. Stephens,0.07,0.32,0.19,0,0,0,0,0.43,,0.43,0.43,1,203,97
D.J. Strawberry,0.04,0.07,0.06,0.15,0.02,0.02,0.1,0.32,0.24,0.34,0.35,0.47,211,113
D.J. White,0.07,0.18,0.12,0.06,0.02,0.02,0.06,0.46,0.33,0.46,0.46,0.7,190,90
Daequan Cook,0.02,0.13,0.07,0.07,0.01,0.01,0.08,0.35,0.34,0.38,0.46,0.77,190,83
Dahntay Jones,0.03,0.1,0.07,0.08,0.01,0.01,0.1,0.4,0.27,0.44,0.42,0.76,190,83
DaJuan Summers,0.02,0.15,0.09,0.09,0.01,0,0.09,0.36,0.37,0.37,0.4,0.65,203,104
Damian Jones,0.12,0.17,0.15,0,0.01,0.04,0.23,0.5,,0.5,0.5,0.3,190,83
Damian Lillard,0.02,0.11,0.06,0.29,0.01,0.01,0.12,0.43,0.37,0.47,0.51,0.87,190,88
Damien Inglis,0.02,0.21,0.11,0.09,0.02,0.02,0.21,0.35,0.23,0.42,0.39,0.88,203,111
Damien Wilkins,0.04,0.1,0.07,0.11,0.02,0.01,0.12,0.43,0.31,0.44,0.46,0.74,208,99
Damion James,0.04,0.21,0.12,0.06,0.01,0.02,0.17,0.35,0,0.38,0.35,0.77,201,102
Damjan Rudez,0.02,0.06,0.04,0.08,0.01,0,0.14,0.4,0.35,0.55,0.53,0.85,208,103
Damon Jones,0,0.06,0.03,0.12,0.01,0,0.12,0.37,0.41,0.21,0.53,0.71,190,83
Damon Stoudamire,0.02,0.11,0.07,0.24,0.01,0,0.18,0.35,0.32,0.37,0.42,0.78,178,77
Dan Dickau,0.01,0.09,0.05,0.28,0.02,0,0.14,0.42,0.33,0.47,0.48,0.83,183,86
Dan Gadzuric,0.14,0.21,0.17,0.04,0.02,0.04,0.17,0.37,0,0.37,0.37,0.37,211,108
D'Angelo Russell,0.02,0.12,0.07,0.24,0.02,0.01,0.16,0.41,0.35,0.45,0.48,0.76,188,86
Daniel Gibson,0.01,0.08,0.05,0.13,0.01,0.01,0.11,0.4,0.41,0.38,0.51,0.76,188,86
Daniel Ochefu,0.08,0.25,0.17,0.06,0.01,0,0.1,0.44,,0.44,0.44,0,211,111
Daniel Orton,0.11,0.15,0.13,0.06,0.02,0.04,0.16,0.49,0,0.5,0.49,0.58,208,115
Danilo Gallinari,0.03,0.14,0.08,0.09,0.01,0.01,0.09,0.42,0.37,0.46,0.51,0.87,208,102
Danny Granger,0.04,0.13,0.08,0.09,0.01,0.02,0.11,0.4,0.35,0.43,0.47,0.84,206,100
Danny Green,0.04,0.12,0.08,0.08,0.02,0.02,0.12,0.42,0.38,0.48,0.54,0.79,206,100
Dante Cunningham,0.07,0.15,0.1,0.05,0.02,0.02,0.08,0.47,0.1,0.5,0.49,0.66,203,104
Dante Exum,0.02,0.08,0.05,0.15,0.01,0.01,0.19,0.39,0.3,0.46,0.47,0.71,198,86
Danuel House,0,1,0.56,0,0,0,0,,,,,,201,93
Darington Hobson,0,0.09,0.04,0.21,0,0,0.13,0.15,0,0.29,0.15,,201,95
Dario Saric,0.06,0.21,0.13,0.14,0.01,0.01,0.15,0.41,0.31,0.47,0.47,0.78,208,101
Darius Johnson-Odom,0.09,0.34,0.22,0.15,0.02,0,0.1,0,0,0,0,0,201,95
Darius Miles,0.08,0.16,0.12,0.1,0.02,0.06,0.16,0.49,0.17,0.51,0.49,0.74,206,95
Darius Miller,0.01,0.07,0.04,0.08,0.01,0.01,0.13,0.33,0.24,0.38,0.39,0.9,203,106
Darius Morris,0.03,0.07,0.05,0.2,0.02,0,0.2,0.38,0.29,0.46,0.43,0.57,193,86
Darius Songaila,0.05,0.14,0.09,0.09,0.02,0.01,0.15,0.49,0.06,0.49,0.49,0.78,206,112
Darius Washington,0.03,0.13,0.08,0.17,0.02,0,0.21,0.44,0.33,0.47,0.48,0.54,188,88
Darko Milicic,0.07,0.19,0.13,0.07,0.01,0.03,0.21,0.42,0,0.42,0.42,0.53,213,113
Darnell Jackson,0.1,0.13,0.11,0.03,0.01,0.01,0.17,0.35,0.17,0.36,0.36,0.66,206,114
Darrell Armstrong,0.04,0.11,0.07,0.21,0.03,0,0.25,0.36,0.33,0.42,0.47,0.67,183,77
Darrell Arthur,0.07,0.16,0.11,0.07,0.02,0.03,0.11,0.44,0.22,0.45,0.47,0.75,206,106
Darren Collison,0.02,0.08,0.05,0.26,0.02,0,0.15,0.47,0.38,0.49,0.51,0.85,183,79
Darrick Martin,0.03,0.03,0.03,0.21,0.02,0,0.02,0.23,0.13,0.3,0.26,0.83,180,77
Darrun Hilliard,0.01,0.11,0.06,0.12,0.01,0,0.14,0.39,0.32,0.42,0.45,0.74,198,92
Darryl Watkins,0.09,0.17,0.13,0.02,0.02,0.03,0.28,0.42,,0.42,0.42,0.45,211,117
David Andersen,0.06,0.21,0.14,0.06,0.01,0.02,0.13,0.46,0.34,0.49,0.49,0.7,208,104
David Harrison,0.07,0.12,0.09,0.03,0.01,0.06,0.22,0.53,,0.53,0.53,0.51,213,127
David Lee,0.1,0.24,0.17,0.14,0.01,0.01,0.13,0.53,0.03,0.54,0.54,0.76,201,102
David Nwaba,0.04,0.13,0.09,0.05,0.02,0.01,0.1,0.58,0.2,0.61,0.59,0.64,193,94
David Stockton,0,0.07,0.03,0.39,0.03,0,0.32,0.33,0.5,0.25,0.42,0.5,180,74
David Wear,0.34,0,0.16,0.19,0,0,0,0,0,0,0,,208,104
David West,0.07,0.19,0.13,0.15,0.01,0.02,0.12,0.5,0.27,0.5,0.5,0.81,206,113
Davis Bertans,0.03,0.11,0.07,0.08,0.01,0.03,0.11,0.44,0.4,0.56,0.59,0.82,208,95
DeAndre' Bembry,0.04,0.13,0.09,0.12,0.01,0.01,0.13,0.48,0.06,0.58,0.49,0.38,198,95
DeAndre Jordan,0.13,0.27,0.2,0.03,0.01,0.05,0.16,0.67,0.04,0.67,0.67,0.43,211,120
DeAndre Liggins,0.22,0.11,0.19,0.06,0.03,0.01,0.14,0.53,0.22,0.58,0.57,0.58,198,94
Dee Brown,0.02,0.08,0.05,0.18,0.01,0,0.27,0.32,0.28,0.3,0.4,0.64,185,72
Dejounte Murray,0.02,0.12,0.07,0.23,0.01,0.02,0.23,0.43,0.39,0.44,0.47,0.7,196,77
DeJuan Blair,0.12,0.22,0.17,0.07,0.02,0.01,0.16,0.5,0,0.5,0.5,0.59,201,122
Delon Wright,0.04,0.11,0.08,0.2,0.02,0.02,0.15,0.44,0.36,0.46,0.47,0.75,196,83
Delonte West,0.02,0.1,0.06,0.22,0.02,0.01,0.17,0.44,0.36,0.47,0.49,0.8,193,81
DeMar DeRozan,0.03,0.11,0.07,0.14,0.01,0.01,0.1,0.45,0.26,0.46,0.46,0.82,201,100
DeMarcus Cousins,0.1,0.28,0.19,0.19,0.02,0.03,0.15,0.46,0.24,0.47,0.48,0.74,211,122
DeMarcus Nelson,0.04,0.11,0.08,0.11,0.03,0.01,0.2,0.44,0,0.47,0.44,0.36,193,90
DeMarre Carroll,0.05,0.12,0.09,0.11,0.02,0.01,0.08,0.43,0.31,0.46,0.47,0.8,203,97
Demetris Nichols,0,0.13,0.06,0.09,0,0.04,0.08,0.28,0.09,0.36,0.31,0.5,203,97
Demetrius Jackson,0.13,0.13,0.13,0.28,0,0,0,0.75,1,0.67,0.88,0.5,185,91
Dennis Horner,0.1,0.16,0.13,0,0,0,0.15,0.25,0,0.33,0.25,0.75,206,104
Dennis Schroder,0.02,0.1,0.06,0.32,0.02,0,0.18,0.42,0.31,0.46,0.46,0.79,185,78
Denzel Valentine,0.01,0.16,0.08,0.09,0.02,0.01,0.14,0.35,0.35,0.36,0.48,0.78,198,96
DeQuan Jones,0.02,0.12,0.07,0.03,0.01,0.02,0.11,0.44,0.26,0.47,0.46,0.67,203,100
Derek Anderson,0.03,0.13,0.08,0.18,0.02,0,0.15,0.38,0.37,0.38,0.45,0.74,196,87
Derek Fisher,0.01,0.07,0.04,0.14,0.02,0,0.13,0.38,0.37,0.38,0.45,0.87,185,90
DerMarr Johnson,0,0.04,0.02,0.07,0.02,0,0,0.5,0.33,0.8,0.61,0,193,83
Deron Williams,0.01,0.1,0.06,0.4,0.02,0.01,0.17,0.44,0.35,0.48,0.5,0.83,190,90
Derrick Brown,0.08,0.11,0.1,0.08,0.02,0.01,0.16,0.55,0.42,0.56,0.58,0.59,185,72
Derrick Byars,0.19,0.15,0.17,0.04,0.03,0,0,0.27,0,0.6,0.27,1,201,99
Derrick Caracter,0.1,0.12,0.11,0.05,0.01,0.04,0.2,0.49,,0.49,0.49,0.74,206,124
Derrick Favors,0.11,0.21,0.16,0.07,0.02,0.04,0.13,0.51,0.09,0.51,0.51,0.64,208,120
Derrick Jones,0.08,0.08,0.08,0.03,0.01,0.02,0.09,0.56,0.27,0.59,0.57,0.71,203,100
Derrick Rose,0.03,0.09,0.06,0.3,0.01,0.01,0.14,0.44,0.28,0.46,0.46,0.82,190,86
Derrick Williams,0.04,0.16,0.1,0.05,0.01,0.01,0.1,0.43,0.28,0.49,0.47,0.71,190,90
DeSagana Diop,0.12,0.19,0.16,0.06,0.01,0.05,0.22,0.43,0,0.43,0.43,0.34,213,136
DeShawn Stevenson,0.02,0.1,0.06,0.1,0.01,0,0.11,0.32,0.3,0.37,0.42,0.66,196,95
Desmon Farmer,0,0.13,0.07,0.05,0,0,0.21,0.29,0.25,0.5,0.39,1,196,99
Desmond Mason,0.05,0.14,0.1,0.07,0.01,0.02,0.17,0.44,0,0.45,0.44,0.65,201,101
Devean George,0.04,0.12,0.08,0.05,0.02,0.01,0.09,0.39,0.33,0.45,0.47,0.73,203,99
Devin Booker,0.02,0.08,0.05,0.16,0.01,0.01,0.13,0.42,0.35,0.46,0.48,0.84,198,93
Devin Brown,0.03,0.12,0.08,0.11,0.02,0,0.13,0.35,0.31,0.37,0.41,0.78,185,72
Devin Ebanks,0.09,0.12,0.11,0.05,0.01,0.02,0.12,0.39,0.22,0.41,0.41,0.74,206,97
Devin Harris,0.01,0.09,0.05,0.29,0.02,0,0.15,0.43,0.33,0.48,0.48,0.8,190,87
Devyn Marble,0.03,0.14,0.08,0.09,0.02,0.01,0.11,0.31,0.22,0.39,0.36,0.37,198,90
Dewayne Dedmon,0.1,0.23,0.16,0.02,0.01,0.04,0.14,0.45,0,0.45,0.45,0.63,213,111
Dexter Pittman,0.35,0.16,0.27,0.01,0,0,0.19,0.32,,0.32,0.32,0.16,211,139
Deyonta Davis,0.09,0.2,0.14,0.01,0.01,0.07,0.13,0.51,,0.51,0.51,0.56,211,107
Diamond Stone,0.05,0.23,0.14,0,0,0.03,0.12,0.23,,0.23,0.23,1,211,115
Diante Garrett,0.02,0.09,0.06,0.24,0.03,0,0.22,0.35,0.29,0.38,0.4,0.67,190,83
Didier Ilunga-Mbenga,0.1,0.16,0.13,0.04,0.01,0.07,0.16,0.46,0,0.46,0.46,0.56,198,97
Dikembe Mutombo*,0.14,0.24,0.19,0.01,0,0.07,0.2,0.46,,0.46,0.46,0.69,218,111
Dion Waiters,0.02,0.08,0.05,0.15,0.02,0.01,0.12,0.41,0.33,0.44,0.45,0.7,193,102
Dionte Christmas,0.07,0.14,0.11,0.06,0.01,0.01,0.08,0.36,0.29,0.42,0.43,0.75,196,92
Dirk Nowitzki,0.03,0.22,0.12,0.13,0.01,0.02,0.08,0.47,0.38,0.5,0.51,0.89,213,111
Domantas Sabonis,0.03,0.16,0.1,0.07,0.01,0.02,0.14,0.4,0.32,0.44,0.45,0.66,211,108
Dominic McGuire,0.08,0.18,0.13,0.09,0.01,0.02,0.19,0.37,0.17,0.37,0.37,0.35,206,99
Dominique Jones,0.05,0.13,0.09,0.27,0.02,0.01,0.21,0.36,0.08,0.39,0.36,0.76,203,99
Donald Sloan,0.02,0.1,0.06,0.27,0.01,0,0.25,0.38,0.2,0.42,0.41,0.73,190,92
Donatas Motiejunas,0.07,0.15,0.11,0.1,0.01,0.01,0.15,0.45,0.28,0.52,0.49,0.6,213,100
Donte Greene,0.04,0.13,0.08,0.07,0.01,0.02,0.12,0.39,0.29,0.46,0.45,0.74,211,102
Dontell Jefferson,0.02,0.16,0.09,0.18,0.03,0.01,0.19,0.5,0.5,0.5,0.52,0.67,196,88
Donyell Marshall,0.07,0.18,0.12,0.07,0.01,0.03,0.11,0.36,0.33,0.39,0.46,0.77,206,98
Dorell Wright,0.04,0.18,0.11,0.1,0.02,0.01,0.11,0.42,0.37,0.45,0.49,0.76,206,92
Dorian Finney-Smith,0.04,0.12,0.08,0.06,0.02,0.01,0.11,0.37,0.29,0.48,0.46,0.75,203,99
Doron Lamb,0.01,0.07,0.04,0.08,0.01,0,0.13,0.38,0.38,0.37,0.44,0.64,193,95
Doug McDermott,0.02,0.11,0.06,0.05,0,0,0.08,0.44,0.37,0.49,0.52,0.79,203,102
Dragan Bender,0.04,0.16,0.1,0.06,0.01,0.03,0.16,0.35,0.28,0.48,0.44,0.36,216,102
Draymond Green,0.05,0.21,0.14,0.18,0.02,0.03,0.17,0.42,0.32,0.47,0.47,0.71,201,104
Drew Gooden,0.11,0.23,0.17,0.07,0.01,0.02,0.12,0.45,0.13,0.46,0.46,0.81,208,113
Drew Gordon,0.1,0.18,0.14,0.05,0.01,0,0.29,0.42,0,0.5,0.42,0.5,206,111
Duje Dukan,0.09,0.09,0.09,0.06,0.02,0,0,0.2,0.4,0,0.3,,206,99
Dwayne Jones,0.1,0.21,0.16,0.01,0,0.02,0.24,0.55,0,0.56,0.55,0.58,208,95
Dwight Buycks,0.02,0.12,0.07,0.15,0.02,0,0.19,0.38,0.47,0.35,0.45,0.89,190,86
Dwight Howard,0.12,0.3,0.21,0.08,0.01,0.05,0.17,0.6,0.1,0.6,0.6,0.55,211,120
Dwight Powell,0.07,0.17,0.12,0.05,0.04,0.02,0.13,0.54,0.24,0.57,0.56,0.71,211,108
Dwyane Wade,0.04,0.12,0.08,0.3,0.02,0.02,0.13,0.49,0.28,0.51,0.5,0.76,193,99
Earl Barron,0.13,0.2,0.17,0.06,0.01,0.02,0.12,0.36,0.29,0.36,0.37,0.6,213,113
Earl Boykins,0.01,0.07,0.04,0.26,0.01,0,0.14,0.39,0.31,0.41,0.42,0.85,165,61
Earl Clark,0.06,0.19,0.12,0.05,0.01,0.03,0.11,0.39,0.23,0.42,0.42,0.61,208,102
Earl Watson,0.03,0.09,0.06,0.29,0.02,0.01,0.3,0.37,0.27,0.41,0.41,0.75,185,88
Ed Davis,0.12,0.23,0.17,0.06,0.01,0.04,0.12,0.55,0,0.55,0.55,0.58,208,108
Eddie Gill,0,0.11,0.06,0.28,0.02,0.01,0.27,0.37,0.34,0.39,0.44,1,183,86
Eddie House,0.01,0.1,0.06,0.12,0.02,0,0.1,0.39,0.37,0.42,0.49,0.91,185,81
Eddie Jones,0.02,0.14,0.08,0.11,0.02,0.01,0.14,0.37,0.29,0.5,0.46,0.71,208,102
Eddy Curry,0.06,0.17,0.12,0.01,0,0.01,0.27,0.58,,0.58,0.58,0.51,213,133
Eduardo Najera,0.06,0.15,0.1,0.08,0.02,0.01,0.14,0.42,0.28,0.5,0.48,0.55,203,108
Edwin Ubiles,0.04,0.18,0.11,0.03,0.01,0.02,0.05,0.28,0.2,0.31,0.31,1,198,92
Edy Tavares,0.12,0.27,0.19,0.04,0,0.13,0.18,0.85,,0.85,0.85,0,211,115
Ekpe Udoh,0.08,0.13,0.11,0.06,0.02,0.05,0.15,0.43,0,0.43,0.43,0.73,208,108
Elfrid Payton,0.04,0.12,0.08,0.34,0.02,0.01,0.18,0.44,0.29,0.47,0.46,0.61,193,83
Elias Harris,0.1,0,0.05,0.11,0.04,0,0,0,,0,0,,203,108
Elijah Millsap,0.07,0.16,0.12,0.11,0.02,0.01,0.19,0.26,0.13,0.31,0.28,0.63,198,102
Elliot Williams,0.02,0.08,0.05,0.13,0.02,0,0.1,0.38,0.38,0.36,0.47,0.43,196,86
Elton Brand,0.08,0.2,0.14,0.09,0.02,0.04,0.12,0.47,0,0.48,0.47,0.72,203,124
Emeka Okafor,0.12,0.25,0.18,0.05,0.01,0.04,0.13,0.53,0,0.54,0.53,0.56,208,114
Emmanuel Mudiay,0.02,0.11,0.07,0.25,0.02,0.01,0.17,0.37,0.32,0.39,0.42,0.73,196,90
Enes Kanter,0.14,0.21,0.18,0.05,0.01,0.02,0.14,0.53,0.38,0.53,0.53,0.77,211,111
Eric Bledsoe,0.04,0.12,0.08,0.27,0.03,0.02,0.19,0.44,0.32,0.48,0.48,0.77,185,86
Eric Dawson,0.15,0.14,0.15,0,0.01,0.04,0.19,0.58,,0.58,0.58,0.5,206,113
Eric Gordon,0.01,0.07,0.04,0.16,0.02,0.01,0.13,0.43,0.37,0.47,0.51,0.82,193,97
Eric Maynor,0.02,0.08,0.05,0.27,0.01,0,0.2,0.37,0.33,0.39,0.43,0.71,190,79
Eric Moreland,0.03,0.36,0.2,0.01,0,0.03,0.14,0.75,,0.75,0.75,0.5,208,107
Eric Piatkowski,0.01,0.1,0.06,0.12,0,0.01,0.15,0.36,0.42,0.14,0.53,1,201,97
Eric Snow,0.01,0.06,0.04,0.19,0.02,0.01,0.17,0.16,0,0.17,0.16,0.46,190,86
Erick Dampier,0.12,0.21,0.17,0.05,0.01,0.04,0.21,0.53,0.17,0.53,0.53,0.59,211,120
Erick Green,0.05,0.09,0.07,0.14,0.01,0,0.02,0.29,0.19,0.47,0.33,0.94,193,83
Erik Murphy,0.04,0.11,0.07,0.05,0,0.05,0.13,0.23,0,0.3,0.23,,208,104
Ersan Ilyasova,0.08,0.19,0.14,0.08,0.02,0.01,0.1,0.43,0.36,0.5,0.5,0.76,208,106
Etan Thomas,0.08,0.19,0.14,0.02,0.01,0.04,0.18,0.47,,0.47,0.47,0.7,206,116
E'Twaun Moore,0.02,0.08,0.05,0.14,0.02,0.01,0.11,0.43,0.37,0.46,0.49,0.76,208,102
Eugene Jeter,0.01,0.08,0.05,0.28,0.02,0,0.16,0.41,0.2,0.44,0.42,0.9,180,79
Evan Fournier,0.02,0.09,0.05,0.13,0.02,0,0.13,0.45,0.38,0.49,0.53,0.78,201,92
Evan Turner,0.02,0.17,0.1,0.2,0.01,0.01,0.15,0.43,0.31,0.45,0.45,0.78,201,99
Fab Melo,0,0.1,0.05,0,0.03,0.04,0.11,0.5,,0.5,0.5,0.25,213,115
Fabricio Oberto,0.09,0.14,0.12,0.08,0.01,0.01,0.27,0.61,0,0.61,0.61,0.61,208,111
Festus Ezeli,0.14,0.19,0.17,0.04,0.01,0.05,0.17,0.51,,0.51,0.51,0.56,211,115
Francisco Elson,0.1,0.15,0.12,0.05,0.01,0.02,0.14,0.4,0.08,0.4,0.4,0.64,213,106
Francisco Garcia,0.02,0.1,0.06,0.1,0.02,0.02,0.1,0.41,0.35,0.47,0.5,0.75,201,88
Frank Kaminsky,0.04,0.17,0.1,0.11,0.01,0.02,0.08,0.4,0.33,0.46,0.47,0.74,213,109
Fred Jones,0.02,0.09,0.05,0.17,0.02,0.01,0.15,0.41,0.38,0.45,0.5,0.78,193,95
Fred VanVleet,0.02,0.15,0.08,0.18,0.03,0.01,0.11,0.35,0.38,0.34,0.4,0.82,183,88
Furkan Aldemir,0.15,0.21,0.18,0.08,0.02,0.02,0.16,0.51,0,0.55,0.51,0.48,208,108
Gabe Pruitt,0.02,0.1,0.06,0.19,0.03,0,0.13,0.33,0.27,0.36,0.39,0.66,193,77
Gal Mekel,0.01,0.06,0.03,0.36,0.02,0,0.17,0.25,0.13,0.28,0.26,0.67,190,86
Gani Lawal,0,0,0,0,0,0,0,,,,,,206,106
Garret Siler,0.18,0.14,0.16,0.05,0.01,0.03,0.2,0.55,,0.55,0.55,0.5,211,138
Garrett Temple,0.02,0.1,0.06,0.14,0.02,0.01,0.18,0.37,0.27,0.42,0.43,0.59,198,88
Gary Forbes,0.04,0.12,0.08,0.12,0.02,0.01,0.14,0.43,0.34,0.46,0.48,0.7,201,99
Gary Harris,0.03,0.07,0.05,0.1,0.02,0.01,0.11,0.43,0.33,0.5,0.49,0.78,193,95
Gary Neal,0.01,0.1,0.05,0.12,0.01,0,0.09,0.38,0.34,0.4,0.44,0.87,193,95
Gary Payton,0,0.14,0.07,0.18,0.02,0.04,0.29,0.36,0.11,0.54,0.39,0.6,193,81
